page,published_date,price,area,price_per_m2,bedroom,wc,location,home_type,legal_status,furniture
42,06/10/2025,9.4,35.0,268.57,3,4,"Bắc Từ Liêm, Hà Nội",nhà riêng,Sổ đỏ/ Sổ hồng,Đầy đủ
43,06/10/2025,36.5,202.5,180.25,N/A,N/A,"Hà Đông, Hà Nội","nhà biệt thự, liền kề",Sổ đỏ/ Sổ hồng,N/A
43,06/10/2025,6.35,25.0,254.0,3,3,"Hà Đông, Hà Nội",nhà riêng,Sổ đỏ/ Sổ hồng,Đầy đủ
43,06/10/2025,N/A,65.0,N/A,N/A,N/A,"Thạch Thất, Hà Nội",đất,Sổ đỏ/ Sổ hồng,N/A
43,06/10/2025,21.0,96.0,218.75,4,5,"Long Biên, Hà Nội",nhà mặt phố,Sổ đỏ/ Sổ hồng,Đầy đủ
43,06/10/2025,22.5,72.0,312.5,N/A,N/A,"Tây Hồ, Hà Nội",đất,Sổ đỏ/ Sổ hồng,N/A
43,06/10/2025,10.0,50.0,200.0,N/A,N/A,"Hà Đông, Hà Nội",nhà mặt phố,Có sổ,N/A
43,06/10/2025,N/A,66.0,N/A,N/A,N/A,"Hoàng Mai, Hà Nội",căn hộ chung cư,N/A,N/A
43,06/10/2025,10.9,50.0,218.0,4,3,"Bắc Từ Liêm, Hà Nội",nhà riêng,Sổ đỏ/ Sổ hồng,Đầy đủ
43,06/10/2025,7.2,71.0,101.41,2,2,"Bắc Từ Liêm, Hà Nội",căn hộ chung cư,Sổ đỏ/ Sổ hồng,Đầy đủ
43,06/10/2025,3.55,42.0,84.52,N/A,N/A,"Thanh Trì, Hà Nội",đất,N/A,N/A
43,06/10/2025,34.5,48.0,718.75,5,5,"Đống Đa, Hà Nội",nhà mặt phố,Sổ đỏ/ Sổ hồng,Cơ bản
43,06/10/2025,2.77,63.0,44.0,3,2,"Đông Anh, Hà Nội",căn hộ chung cư,Sổ đỏ/ Sổ hồng,Cơ bản
43,06/10/2025,30.0,78.0,384.62,4,4,"Gia Lâm, Hà Nội",nhà mặt phố,Sổ đỏ/ Sổ hồng,N/A
43,06/10/2025,23.5,60.0,391.65,N/A,N/A,"Đống Đa, Hà Nội",nhà mặt phố,Sổ đỏ/ Sổ hồng,N/A
43,06/10/2025,26.0,122.0,213.12,27,27,"Ba Đình, Hà Nội",nhà riêng,Sổ đỏ/ Sổ hồng,Cao cấp
43,06/10/2025,10.0,74.0,135.14,N/A,N/A,"Gia Lâm, Hà Nội","nhà biệt thự, liền kề",Sổ đỏ/ Sổ hồng,N/A
43,06/10/2025,13.89,40.0,347.25,N/A,N/A,"Thanh Xuân, Hà Nội",nhà mặt phố,Sổ đỏ/ Sổ hồng,N/A
43,06/10/2025,10.3,31.0,332.26,3,4,"Hoàng Mai, Hà Nội",nhà riêng,Sổ đỏ/ Sổ hồng,Đầy đủ
43,06/10/2025,90.0,150.0,600.0,4,5,"Nam Từ Liêm, Hà Nội","nhà biệt thự, liền kề",Sổ đỏ/ Sổ hồng,N/A
43,06/10/2025,86.0,200.0,430.0,6,5,"Cầu Giấy, Hà Nội","nhà biệt thự, liền kề",Sổ đỏ/ Sổ hồng,N/A
44,06/10/2025,10.0,45.0,222.22,5,4,"Đống Đa, Hà Nội",nhà riêng,Sổ đỏ/ Sổ hồng,Đầy đủ
44,06/10/2025,10.95,122.0,89.75,3,2,"Thanh Xuân, Hà Nội",căn hộ chung cư,Sổ đỏ/ Sổ hồng.,Đầy đủ.
44,06/10/2025,17.0,141.0,120.57,3,2,"Đống Đa, Hà Nội",căn hộ chung cư,N/A,"Nội thất cơ bản chủ đầu tư, chưa qua sử dụng."
44,06/10/2025,7.65,83.2,92.0,2,2,"Thanh Xuân, Hà Nội",căn hộ chung cư,Sổ đỏ/ Sổ hồng,Cơ bản
44,06/10/2025,26.0,122.0,213.12,30,30,"Ba Đình, Hà Nội",nhà riêng,Sổ đỏ/ Sổ hồng,Đầy đủ
44,06/10/2025,12.0,90.0,133.33,3,2,"Nam Từ Liêm, Hà Nội",căn hộ chung cư,N/A,N/A
44,06/10/2025,2.85,30.0,95.0,3,3,"Long Biên, Hà Nội",nhà riêng,Hợp đồng mua bán,N/A
44,06/10/2025,65.0,61.0,N/A,9,5,"Đống Đa, Hà Nội",nhà mặt phố,Sổ đỏ,N/A
44,06/10/2025,7.4,30.0,246.67,3,4,"Hai Bà Trưng, Hà Nội",nhà riêng,Sổ đỏ/ Sổ hồng,Cơ bản
44,06/10/2025,N/A,100.0,N/A,3,2,"Hà Đông, Hà Nội",căn hộ chung cư,Sổ đỏ/ Sổ hồng,N/A
44,06/10/2025,3.8,47.0,80.85,1,1,"Thanh Trì, Hà Nội",căn hộ chung cư,Sổ đỏ/ Sổ hồng,Cơ bản
44,06/10/2025,3.69,38.1,96.9,1,1,"Đống Đa, Hà Nội",condotel,Hợp đồng mua bán,Full nội thất cao cấp.
44,06/10/2025,2.3,26.5,86.79,1,1,"Gia Lâm, Hà Nội",căn hộ chung cư,Hợp đồng mua bán,Cơ bản
44,06/10/2025,11.9,103.7,114.75,3,2,"Long Biên, Hà Nội",căn hộ chung cư,Hợp đồng mua bán,Đầy đủ
44,06/10/2025,6.86,35.0,196.0,3,4,"Long Biên, Hà Nội",nhà riêng,Sổ đỏ/ Sổ hồng,Đầy đủ
44,06/10/2025,14.8,48.0,308.33,4,3,"Hà Đông, Hà Nội",nhà riêng,Sổ đỏ/ Sổ hồng,Đầy đủ
44,06/10/2025,N/A,60.0,N/A,N/A,N/A,"Quốc Oai, Hà Nội",đất,Sổ đỏ/ Sổ hồng,N/A
44,06/10/2025,52.7,148.0,356.08,5,5,"Long Biên, Hà Nội","nhà biệt thự, liền kề",N/A,N/A
44,06/10/2025,3.85,40.0,96.25,N/A,N/A,"Hoài Đức, Hà Nội",đất,Sổ đỏ/ Sổ hồng,N/A
44,06/10/2025,3.0,28.3,106.01,1,1,"Nam Từ Liêm, Hà Nội",căn hộ chung cư,Sổ đỏ/ Sổ hồng,Đầy đủ
45,06/10/2025,38.5,86.0,447.67,6,8,"Nam Từ Liêm, Hà Nội","nhà biệt thự, liền kề",Sổ đỏ/ Sổ hồng,N/A
45,06/10/2025,3.4,54.0,62.96,N/A,N/A,"Thanh Trì, Hà Nội",đất,N/A,N/A
45,06/10/2025,15.2,138.0,110.14,4,4,"Gia Lâm, Hà Nội",căn hộ chung cư,Sổ đỏ/ Sổ hồng,Cơ bản
45,06/10/2025,6.6,32.0,206.25,5,3,"Nam Từ Liêm, Hà Nội",nhà riêng,Sổ đỏ/ Sổ hồng,Không nội thất
45,06/10/2025,32.0,150.0,213.33,N/A,N/A,"Nam Từ Liêm, Hà Nội","shophouse, nhà phố thương mại",N/A,Đầy đủ
45,06/10/2025,N/A,125.0,N/A,6,8,"Thường Tín, Hà Nội","shophouse, nhà phố thương mại",Hợp đồng mua bán,Không nội thất
45,06/10/2025,6.16,69.0,89.29,2,2,"Nam Từ Liêm, Hà Nội",căn hộ chung cư,Hợp đồng mua bán,Đầy đủ
45,06/10/2025,16.2,98.0,165.31,14,14,"Cầu Giấy, Hà Nội",nhà riêng,Sổ đỏ/ Sổ hồng,Đầy đủ
45,06/10/2025,9.5,256.0,37.11,N/A,N/A,"Quốc Oai, Hà Nội",đất,Sổ đỏ/ Sổ hồng,N/A
45,06/10/2025,6.1,33.5,182.09,N/A,N/A,"Hà Đông, Hà Nội",nhà riêng,Sổ đỏ/ Sổ hồng,Cơ bản
45,06/10/2025,19.0,40.0,475.0,4,3,"Cầu Giấy, Hà Nội",nhà riêng,Sổ đỏ/ Sổ hồng,N/A
45,06/10/2025,19.5,63.0,309.52,N/A,N/A,"Đông Anh, Hà Nội","nhà biệt thự, liền kề",N/A,N/A
45,06/10/2025,114.0,146.0,780.82,12,13,"Tây Hồ, Hà Nội",nhà mặt phố,Sổ đỏ/ Sổ hồng,Đầy đủ
45,06/10/2025,9.48,109.0,87.0,3,2,"Thanh Xuân, Hà Nội",căn hộ chung cư,N/A,Cơ bản.
45,06/10/2025,9.0,48.0,187.5,5,N/A,"Hai Bà Trưng, Hà Nội",nhà riêng,Sổ đỏ/ Sổ hồng,Đầy đủ
45,06/10/2025,6.0,78.0,76.92,2,2,"Hoàng Mai, Hà Nội",căn hộ chung cư,Hợp đồng mua bán,Đầy đủ.
45,06/10/2025,17.7,144.0,122.92,3,2,"Thanh Xuân, Hà Nội",căn hộ chung cư,Sổ đỏ/ Sổ hồng,Đầy đủ
45,06/10/2025,N/A,133.0,N/A,3,2,"Bắc Từ Liêm, Hà Nội",căn hộ chung cư,N/A,N/A
45,06/10/2025,N/A,196.0,N/A,N/A,N/A,"Mê Linh, Hà Nội","nhà biệt thự, liền kề",Sổ đỏ/ Sổ hồng.,N/A
45,06/10/2025,12.95,60.0,215.83,2,3,"Hoàng Mai, Hà Nội",nhà riêng,Sổ đỏ/ Sổ hồng,N/A
46,06/10/2025,19.3,76.5,252.29,6,6,"Long Biên, Hà Nội",nhà riêng,Sổ đỏ/ Sổ hồng,"Đầy đủ Full nội thất cao cấp nhập khẩu, trang bị hệ thống điều hòa trung tâm Munti."
46,06/10/2025,7.1,100.0,71.0,3,2,"Long Biên, Hà Nội",căn hộ chung cư,Hợp đồng mua bán,Cơ bản
46,06/10/2025,11.43,197.0,58.0,N/A,N/A,"Mê Linh, Hà Nội","nhà biệt thự, liền kề",Sổ đỏ/ Sổ hồng.,N/A
46,06/10/2025,31.45,170.0,185.0,N/A,N/A,"Hà Đông, Hà Nội","nhà biệt thự, liền kề",Hợp đồng mua bán,Không nội thất
46,06/10/2025,2.0,193.0,10.36,N/A,N/A,"Thường Tín, Hà Nội",đất,Sổ đỏ/ Sổ hồng,N/A
46,06/10/2025,26.0,120.0,216.67,N/A,N/A,"Hoài Đức, Hà Nội","nhà biệt thự, liền kề",Sổ đỏ/ Sổ hồng,N/A
46,06/10/2025,37.0,97.5,379.49,5,5,"Đông Anh, Hà Nội","nhà biệt thự, liền kề",Hợp đồng mua bán,N/A
46,06/10/2025,35.0,380.0,92.1,6,4,"Nam Từ Liêm, Hà Nội",căn hộ chung cư,Sổ đỏ/ Sổ hồng,Đầy đủ
46,06/10/2025,27.36,360.0,76.0,N/A,N/A,"Mê Linh, Hà Nội","nhà biệt thự, liền kề",Sổ đỏ/ Sổ hồng,Xây thô
46,06/10/2025,11.0,95.6,115.06,3,2,"Cầu Giấy, Hà Nội",căn hộ chung cư,Sổ đỏ/ Sổ hồng,Cơ bản
46,06/10/2025,21.0,82.5,254.54,4,4,"Hà Đông, Hà Nội","nhà biệt thự, liền kề",Sổ đỏ/ Sổ hồng,N/A
46,06/10/2025,15.45,65.0,237.69,12,N/A,"Long Biên, Hà Nội",nhà riêng,N/A,N/A
46,06/10/2025,1.6,50.0,32.0,N/A,N/A,"Sơn Tây, Hà Nội",đất,Sổ đỏ/ Sổ hồng,N/A
46,06/10/2025,5.5,117.0,47.01,3,2,"Cầu Giấy, Hà Nội",căn hộ chung cư,Sổ đỏ/ Sổ hồng,Đầy đủ
46,06/10/2025,3.5,40.0,87.5,N/A,N/A,"Hoài Đức, Hà Nội",đất,N/A,N/A
46,06/10/2025,N/A,93.0,N/A,8,5,"Hoàng Mai, Hà Nội","nhà biệt thự, liền kề",Sổ đỏ/ Sổ hồng.,N/A
46,06/10/2025,114.0,241.0,473.03,N/A,N/A,"Bắc Từ Liêm, Hà Nội","nhà biệt thự, liền kề",Sổ đỏ/ Sổ hồng,N/A
46,06/10/2025,8.2,100.0,82.0,3,2,"Hoàng Mai, Hà Nội",căn hộ chung cư,Hợp đồng mua bán,Đầy đủ
46,06/10/2025,48.0,130.0,369.23,6,4,"Tây Hồ, Hà Nội","nhà biệt thự, liền kề",Sổ đỏ/ Sổ hồng,Đầy đủ
46,06/10/2025,11.0,38.0,289.47,4,N/A,"Hoàng Mai, Hà Nội",nhà riêng,Sổ đỏ/ Sổ hồng,N/A
47,06/10/2025,N/A,97.0,N/A,3,3,"Thanh Xuân, Hà Nội",căn hộ chung cư,Sổ đỏ/ Sổ hồng,Đầy đủ
47,06/10/2025,N/A,94.0,N/A,5,4,"Nam Từ Liêm, Hà Nội","nhà biệt thự, liền kề",Sổ đỏ/ Sổ hồng,Đầy đủ
47,06/10/2025,69.0,290.0,237.93,1,1,"Hai Bà Trưng, Hà Nội",nhà riêng,Sổ đỏ/ Sổ hồng,Đầy đủ
47,06/10/2025,N/A,74.0,N/A,2,2,"Nam Từ Liêm, Hà Nội",căn hộ chung cư,Sổ đỏ/ Sổ hồng,Cơ bản
47,06/10/2025,N/A,150.0,N/A,N/A,N/A,"Thạch Thất, Hà Nội",đất,Sổ đỏ/ Sổ hồng,N/A
47,06/10/2025,52.0,260.0,200.0,N/A,N/A,"Hoàng Mai, Hà Nội","nhà biệt thự, liền kề",Sổ đỏ/ Sổ hồng,N/A
47,06/10/2025,20.04,120.0,167.0,N/A,N/A,"Hoài Đức, Hà Nội",đất,Sổ đỏ/ Sổ hồng,N/A
47,06/10/2025,8.5,104.0,81.73,3,2,"Thanh Xuân, Hà Nội",căn hộ chung cư,Sổ đỏ/ Sổ hồng,N/A
47,06/10/2025,6.7,83.0,80.72,2,2,"Thanh Xuân, Hà Nội",căn hộ chung cư,N/A,N/A
47,06/10/2025,N/A,130.2,N/A,N/A,N/A,"Sơn Tây, Hà Nội",đất,Sổ đỏ/ Sổ hồng,N/A
47,06/10/2025,3.75,250.0,15.0,N/A,N/A,"Quốc Oai, Hà Nội",đất,Sổ đỏ/ Sổ hồng.,N/A
47,06/10/2025,42.0,210.0,200.0,N/A,N/A,"Hoài Đức, Hà Nội","nhà biệt thự, liền kề",Sổ đỏ/ Sổ hồng,N/A
47,06/10/2025,75.0,193.0,388.6,7,7,"Nam Từ Liêm, Hà Nội","nhà biệt thự, liền kề",Sổ đỏ/ Sổ hồng,Cơ bản
47,06/10/2025,40.0,92.7,431.5,5,5,"Nam Từ Liêm, Hà Nội","shophouse, nhà phố thương mại",Sổ đỏ/ Sổ hồng.,Nhà hoàn thiện nội thất cao cấp
47,06/10/2025,4.64,80.0,58.0,N/A,N/A,"Mê Linh, Hà Nội",đất,Sổ đỏ/ Sổ hồng,N/A
47,06/10/2025,44.0,288.0,152.78,N/A,N/A,"Đan Phượng, Hà Nội","nhà biệt thự, liền kề",N/A,N/A
47,06/10/2025,7.0,100.0,70.0,N/A,N/A,"Quốc Oai, Hà Nội",đất,Sổ đỏ/ Sổ hồng,N/A
47,06/10/2025,7.8,70.0,111.43,2,2,"Nam Từ Liêm, Hà Nội",căn hộ chung cư,Sổ hồng lâu dài,Đầy đủ
47,06/10/2025,30.0,170.0,176.47,N/A,N/A,"Hà Đông, Hà Nội","nhà biệt thự, liền kề",Sổ đỏ/ Sổ hồng,Không nội thất
47,06/10/2025,16.0,72.0,222.22,N/A,N/A,"Thanh Xuân, Hà Nội",nhà riêng,Sổ đỏ/ Sổ hồng,N/A
48,06/10/2025,16.0,72.0,222.22,N/A,N/A,"Thanh Xuân, Hà Nội",nhà riêng,Sổ đỏ/ Sổ hồng,N/A
48,06/10/2025,4.5,90.0,50.0,3,N/A,"Nam Từ Liêm, Hà Nội",căn hộ chung cư,N/A,N/A
48,06/10/2025,7.0,83.0,84.34,3,2,"Nam Từ Liêm, Hà Nội",căn hộ chung cư,Hợp đồng mua bán,Đầy đủ
48,06/10/2025,48.4,252.0,192.06,4,3,"Tây Hồ, Hà Nội",căn hộ chung cư,Sổ đỏ/ Sổ hồng,Cơ bản
48,06/10/2025,N/A,140.5,N/A,N/A,N/A,"Thạch Thất, Hà Nội",đất,Sổ đỏ/ Sổ hồng,N/A
48,06/10/2025,N/A,42.0,N/A,1,N/A,"Đông Anh, Hà Nội",căn hộ chung cư,N/A,Cơ bản
48,06/10/2025,22.5,120.0,187.5,N/A,N/A,"Đan Phượng, Hà Nội","nhà biệt thự, liền kề",N/A,N/A
48,06/10/2025,8.2,70.0,117.14,N/A,N/A,"Long Biên, Hà Nội",đất,Sổ đỏ/ Sổ hồng,N/A
48,06/10/2025,30.0,180.0,166.67,N/A,N/A,"Hà Đông, Hà Nội","nhà biệt thự, liền kề",Sổ đỏ/ Sổ hồng,N/A
48,06/10/2025,N/A,180.0,N/A,N/A,N/A,"Hà Đông, Hà Nội","nhà biệt thự, liền kề",Hợp đồng mua bán,Không nội thất
48,06/10/2025,5.15,70.0,73.57,2,1,"Nam Từ Liêm, Hà Nội",căn hộ chung cư,Sổ đỏ/ Sổ hồng,N/A
48,06/10/2025,27.0,170.0,158.82,5,5,"Hà Đông, Hà Nội","nhà biệt thự, liền kề",Sổ đỏ/ Sổ hồng,Không nội thất
48,06/10/2025,13.68,75.0,182.4,6,5,"Thường Tín, Hà Nội","nhà biệt thự, liền kề",Hợp đồng mua bán,Cơ bản
48,06/10/2025,0.9391,50.9,18.45,N/A,N/A,"Mỹ Đức, Hà Nội",đất,Sổ đỏ/ Sổ hồng,N/A
48,06/10/2025,5.7,89.0,64.04,3,2,"Hà Đông, Hà Nội",căn hộ chung cư,Sổ đỏ/ Sổ hồng,Đầy đủ
48,06/10/2025,N/A,210.0,N/A,N/A,N/A,"Hoài Đức, Hà Nội","nhà biệt thự, liền kề",Sổ đỏ/ Sổ hồng,N/A
48,06/10/2025,28.0,245.0,114.29,N/A,N/A,"Hoài Đức, Hà Nội","nhà biệt thự, liền kề",Sổ đỏ/ Sổ hồng,N/A
48,06/10/2025,12.5,80.7,154.9,N/A,N/A,"Nam Từ Liêm, Hà Nội","shophouse, nhà phố thương mại",Hợp đồng mua bán,Đầy đủ
48,06/10/2025,26.0,200.0,130.0,N/A,N/A,"Hoài Đức, Hà Nội","nhà biệt thự, liền kề",N/A,N/A
48,06/10/2025,16.5,193.0,85.49,4,3,"Thanh Xuân, Hà Nội",căn hộ chung cư,Sổ đỏ/ Sổ hồng,Đầy đủ
49,06/10/2025,18.0,100.0,180.0,5,4,"Hoài Đức, Hà Nội","nhà biệt thự, liền kề",N/A,Không nội thất
49,06/10/2025,9.0,100.0,90.0,3,2,"Nam Từ Liêm, Hà Nội",căn hộ chung cư,Sổ đỏ/ Sổ hồng,Nhà để lại toàn bộ nội thất về ở ngay được.
49,06/10/2025,48.0,252.0,190.48,10,7,"Hà Đông, Hà Nội","nhà biệt thự, liền kề",Sổ đỏ/ Sổ hồng,Đầy đủ
49,06/10/2025,8.0,76.0,105.26,1,2,"Tây Hồ, Hà Nội",căn hộ chung cư,Sổ đỏ/ Sổ hồng,Đầy đủ
49,06/10/2025,2.0,250.0,8.0,N/A,N/A,"Sơn Tây, Hà Nội",đất,Sổ đỏ/ Sổ hồng,N/A
49,06/10/2025,11.0,120.0,91.67,N/A,N/A,"Gia Lâm, Hà Nội","shophouse, nhà phố thương mại",Sổ đỏ/ Sổ hồng,Cơ bản
49,06/10/2025,7.5,33.0,227.27,4,2,"Hà Đông, Hà Nội",nhà riêng,Sổ đỏ/ Sổ hồng,N/A
49,06/10/2025,65.0,227.0,286.34,4,5,"Hà Đông, Hà Nội","nhà biệt thự, liền kề",Sổ đỏ/ Sổ hồng,N/A
49,06/10/2025,9.0,81.0,111.11,N/A,N/A,"Nam Từ Liêm, Hà Nội",căn hộ chung cư,Sổ đỏ/ Sổ hồng,Đầy đủ
49,06/10/2025,6.28,30.0,209.33,3,4,"Hoàng Mai, Hà Nội",nhà riêng,Sổ đỏ/ Sổ hồng,Đầy đủ
49,06/10/2025,86.0,180.0,477.78,2,2,"Cầu Giấy, Hà Nội",nhà mặt phố,Sổ đỏ/ Sổ hồng,N/A
49,06/10/2025,3.95,63.0,62.7,2,2,"Hà Đông, Hà Nội",căn hộ chung cư,Sổ đỏ/ Sổ hồng,Đầy đủ
49,06/10/2025,6.9,83.0,83.13,2,2,"Bắc Từ Liêm, Hà Nội",căn hộ chung cư,Sổ đỏ/ Sổ hồng,Đầy đủ
49,06/10/2025,89.0,300.0,296.67,N/A,N/A,"Bắc Từ Liêm, Hà Nội",nhà mặt phố,Sổ đỏ/ Sổ hồng,Đầy đủ
49,06/10/2025,14.0,90.0,155.56,N/A,N/A,"Đông Anh, Hà Nội",đất,Sổ đỏ/ Sổ hồng,N/A
49,06/10/2025,8.39,42.0,199.76,5,4,"Hai Bà Trưng, Hà Nội",nhà riêng,Sổ đỏ/ Sổ hồng,Đầy đủ
49,06/10/2025,6.75,45.0,150.0,N/A,N/A,"Hoàng Mai, Hà Nội",đất,N/A,N/A
49,06/10/2025,6.35,25.0,254.0,3,4,"Hai Bà Trưng, Hà Nội",nhà riêng,Sổ đỏ/ Sổ hồng,Đầy đủ
49,06/10/2025,N/A,76.0,N/A,2,2,"Nam Từ Liêm, Hà Nội",căn hộ chung cư,N/A,"Đầy đủ - Chuông cửa Camera AI. Cửa lõi thép chống cháy. Khóa cửa thông minh LOGHomes (vân tay, thẻ từ, pass.. )."
49,06/10/2025,40.77,150.0,271.8,4,4,"Nam Từ Liêm, Hà Nội","nhà biệt thự, liền kề",Sổ đỏ/ Sổ hồng,Đầy đủ
50,06/10/2025,23.5,66.0,356.06,4,4,"Cầu Giấy, Hà Nội",nhà riêng,Sổ đỏ/ Sổ hồng,N/A
50,06/10/2025,15.0,75.0,200.0,2,2,"Ba Đình, Hà Nội",căn hộ chung cư,N/A,Nội thất xịn.
50,06/10/2025,15.75,63.0,250.0,4,3,"Ba Đình, Hà Nội",nhà riêng,Sổ đỏ/ Sổ hồng,N/A
50,06/10/2025,N/A,67.6,N/A,N/A,N/A,"Thạch Thất, Hà Nội",đất,Sổ đỏ/ Sổ hồng,N/A
50,06/10/2025,8.8,105.5,83.41,3,2,"Nam Từ Liêm, Hà Nội",căn hộ chung cư,Sổ đỏ/ Sổ hồng,N/A
50,06/10/2025,2.35,61.8,38.03,N/A,N/A,"Thạch Thất, Hà Nội",đất,Sổ đỏ/ Sổ hồng.,N/A
50,06/10/2025,N/A,95.4,N/A,N/A,N/A,"Thanh Trì, Hà Nội",nhà riêng,Sổ đỏ/ Sổ hồng,Cơ bản
50,06/10/2025,2.5,100.0,25.0,N/A,N/A,"Sơn Tây, Hà Nội",đất,Sổ đỏ/ Sổ hồng,N/A
50,06/10/2025,N/A,62.0,N/A,2,2,"Hà Đông, Hà Nội",căn hộ chung cư,Sổ đỏ/ Sổ hồng,Đầy đủ
50,06/10/2025,13.0,81.0,160.49,5,6,"Thường Tín, Hà Nội","shophouse, nhà phố thương mại",Sổ đỏ/ Sổ hồng,N/A
50,06/10/2025,52.0,120.0,433.33,4,10,"Nam Từ Liêm, Hà Nội",nhà mặt phố,Sổ đỏ/ Sổ hồng,Đầy đủ
50,06/10/2025,31.5,120.0,262.5,4,5,"Hà Đông, Hà Nội","nhà biệt thự, liền kề",Sổ đỏ/ Sổ hồng,Đầy đủ
50,06/10/2025,6.1,74.0,82.43,2,2,"Nam Từ Liêm, Hà Nội",căn hộ chung cư,N/A,FULL
50,06/10/2025,13.95,68.0,205.15,6,4,"Long Biên, Hà Nội",nhà riêng,Sổ đỏ/ Sổ hồng,Cơ bản
50,06/10/2025,12.0,50.4,238.1,N/A,N/A,"Hà Đông, Hà Nội",đất nền dự án,Sổ đỏ/ Sổ hồng,N/A
50,06/10/2025,6.85,30.0,228.33,4,4,"Đống Đa, Hà Nội",nhà riêng,Sổ đỏ/ Sổ hồng,N/A
50,06/10/2025,4.8,35.0,137.14,4,N/A,"Thanh Trì, Hà Nội",nhà riêng,Sổ đỏ/ Sổ hồng,N/A
50,06/10/2025,0.78,100.0,7.8,N/A,N/A,"Sóc Sơn, Hà Nội",đất,Sổ đỏ/ Sổ hồng,N/A
50,06/10/2025,13.0,113.0,115.04,3,2,"Đống Đa, Hà Nội",căn hộ chung cư,Sổ đỏ chính chủ.,"Nội thất cao cấp: Điều hòa âm trần, tủ tường, sàn gỗ, giường, tủ tường..."
50,06/10/2025,10.5,139.9,75.05,N/A,N/A,"Hà Đông, Hà Nội",căn hộ chung cư,Sổ đỏ/ Sổ hồng,Đầy đủ
51,06/10/2025,35.0,60.0,583.33,4,4,"Cầu Giấy, Hà Nội",nhà mặt phố,Sổ đỏ/ Sổ hồng,N/A
51,06/10/2025,18.1,80.0,226.25,N/A,N/A,"Hà Đông, Hà Nội","nhà biệt thự, liền kề",N/A,N/A
51,06/10/2025,13.22,56.0,236.0,N/A,N/A,"Long Biên, Hà Nội",đất,Sổ đỏ/ Sổ hồng,N/A
51,06/10/2025,4.75,70.0,67.86,N/A,N/A,"Cầu Giấy, Hà Nội",căn hộ chung cư,"Pháp lý: Sổ đỏ chính chủ, sang tên ngay.",3 điều hòa tủ bếp tủ quần áo âm tường
51,06/10/2025,N/A,71.0,N/A,N/A,N/A,"Hoàng Mai, Hà Nội",căn hộ chung cư,Sổ đỏ/ Sổ hồng,Đầy đủ
51,06/10/2025,6.8,75.0,90.67,4,4,"Thanh Trì, Hà Nội","shophouse, nhà phố thương mại",Sổ đỏ/ Sổ hồng,Cơ bản
51,06/10/2025,6.25,36.0,173.61,4,3,"Thanh Trì, Hà Nội",nhà riêng,Sổ đỏ/ Sổ hồng,Cơ bản
51,06/10/2025,14.7,165.0,89.09,4,3,"Cầu Giấy, Hà Nội",căn hộ chung cư,Sổ đỏ/ Sổ hồng,Cơ bản
51,06/10/2025,13.5,81.2,166.26,N/A,N/A,"Thường Tín, Hà Nội","shophouse, nhà phố thương mại",Sổ đỏ.,N/A
51,06/10/2025,N/A,84.0,N/A,N/A,N/A,"Mê Linh, Hà Nội",đất,Sổ đỏ/ Sổ hồng,N/A
51,06/10/2025,15.0,71.0,211.27,6,4,"Đan Phượng, Hà Nội","nhà biệt thự, liền kề",Hợp đồng mua bán,N/A
51,06/10/2025,N/A,236.0,N/A,4,4,"Long Biên, Hà Nội","nhà biệt thự, liền kề",Sổ đỏ/ Sổ hồng,N/A
51,06/10/2025,0.99999,50.0,20.0,N/A,N/A,"Sơn Tây, Hà Nội",đất,Sổ đỏ/ Sổ hồng,N/A
51,06/10/2025,N/A,250.0,N/A,4,4,"Thạch Thất, Hà Nội","nhà biệt thự, liền kề",Đã có sổ đỏ.,Thô hoàn thiện mặt ngoài hoặc full nội thất.
51,06/10/2025,9.53,79.4,120.0,N/A,N/A,"Đông Anh, Hà Nội",đất,Sổ đỏ/ Sổ hồng,N/A
51,06/10/2025,13.72,75.0,183.0,2,2,"Long Biên, Hà Nội",nhà mặt phố,Sổ đỏ/ Sổ hồng,N/A
51,06/10/2025,10.5,70.0,150.0,2,N/A,"Cầu Giấy, Hà Nội",căn hộ chung cư,Hợp đồng mua bán,Không nội thất
51,06/10/2025,N/A,195.0,N/A,5,3,"Bắc Từ Liêm, Hà Nội",căn hộ chung cư,Sổ đỏ/ Sổ hồng,Đầy đủ
51,06/10/2025,45.0,200.0,225.0,5,4,"Long Biên, Hà Nội",nhà riêng,Sổ đỏ/ Sổ hồng,N/A
51,06/10/2025,1.77,112.0,15.8,N/A,N/A,"Sóc Sơn, Hà Nội",đất,Sổ đỏ/ Sổ hồng,N/A
52,06/10/2025,N/A,110.0,N/A,1,1,"Long Biên, Hà Nội",nhà mặt phố,Sổ đỏ/ Sổ hồng,N/A
52,06/10/2025,108.0,143.0,755.24,9,9,"Cầu Giấy, Hà Nội",nhà mặt phố,Sổ đỏ/ Sổ hồng,N/A
52,06/10/2025,11.5,123.4,93.19,3,2,"Thanh Xuân, Hà Nội",căn hộ chung cư,Sổ đỏ/ Sổ hồng,Đầy đủ
52,06/10/2025,39.0,86.0,453.49,N/A,N/A,"Long Biên, Hà Nội",đất,Sổ đỏ/ Sổ hồng,N/A
52,06/10/2025,45.0,81.0,555.56,3,3,"Long Biên, Hà Nội",nhà mặt phố,Sổ đỏ/ Sổ hồng,N/A
